#城市,开始时间,时段名称,时长,是否高峰
北京,06:03:30,广告-1,00:02:30,0
北京,06:11:00,广告-2,00:02:30,0
北京,06:18:30,广告-3,00:02:30,0
北京,06:26:00,广告-4,00:02:30,0
北京,06:34:30,广告-5,00:02:30,0
北京,06:42:00,广告-6,00:02:30,0
北京,06:49:30,广告-7,00:02:30,0
北京,06:57:00,广告-8,00:02:30,0
北京,07:05:00,广告-9,00:03:00,0
北京,07:13:00,广告-10,00:03:00,0
北京,07:21:00,广告-11,00:03:00,0
北京,07:30:00,广告-12,00:03:00,0
北京,07:38:00,广告-13,00:03:00,0
北京,07:46:00,广告-14,00:03:00,0
北京,07:54:00,广告-15,00:03:00,0
北京,08:05:00,广告-16,00:03:00,0
北京,08:13:00,广告-17,00:03:00,0
北京,08:21:00,广告-18,00:03:00,0
北京,08:30:00,广告-19,00:03:00,1
北京,08:38:00,广告-20,00:03:00,1
北京,08:46:00,广告-21,00:03:00,1
北京,08:54:00,广告-22,00:03:00,1
北京,09:05:00,广告-23,00:03:00,1
北京,09:13:00,广告-24,00:03:00,1
北京,09:21:00,广告-25,00:03:00,1
北京,09:29:00,广告-26,00:03:00,1
北京,09:38:30,广告-27,00:03:00,1
北京,09:46:30,广告-28,00:03:00,1
北京,09:54:30,广告-29,00:03:00,1
北京,10:05:00,广告-30,00:03:00,1
北京,10:13:00,广告-31,00:03:00,1
北京,10:21:00,广告-32,00:03:00,1
北京,10:29:00,广告-33,00:03:00,1
北京,10:38:30,广告-34,00:03:00,0
北京,10:46:30,广告-35,00:03:00,0
北京,10:54:30,广告-36,00:03:00,0
北京,11:05:00,广告-37,00:03:00,0
北京,11:13:00,广告-38,00:03:00,0
北京,11:21:00,广告-39,00:03:00,0
北京,11:29:00,广告-40,00:03:00,0
北京,11:38:30,广告-41,00:03:00,0
北京,11:46:30,广告-42,00:03:00,0
北京,11:54:30,广告-43,00:03:00,0
北京,12:05:00,广告-44,00:03:00,0
北京,12:13:00,广告-45,00:03:00,0
北京,12:21:00,广告-46,00:03:00,0
北京,12:29:00,广告-47,00:03:00,0
北京,12:38:30,广告-48,00:03:00,0
北京,12:46:30,广告-49,00:03:00,0
北京,12:54:30,广告-50,00:03:00,0
北京,13:05:00,广告-51,00:03:00,0
北京,13:13:00,广告-52,00:03:00,0
北京,13:21:00,广告-53,00:03:00,0
北京,13:29:00,广告-54,00:03:00,0
北京,13:38:30,广告-55,00:03:00,0
北京,13:46:30,广告-56,00:03:00,0
北京,13:54:30,广告-57,00:03:00,0
北京,14:05:00,广告-58,00:03:00,0
北京,14:13:00,广告-59,00:03:00,0
北京,14:21:00,广告-60,00:03:00,0
北京,14:29:00,广告-61,00:03:00,0
北京,14:38:30,广告-62,00:03:00,0
北京,14:46:30,广告-63,00:03:00,0
北京,14:54:30,广告-64,00:03:00,0
北京,15:05:00,广告-65,00:03:00,0
北京,15:13:00,广告-66,00:03:00,0
北京,15:21:00,广告-67,00:03:00,0
北京,15:29:00,广告-68,00:03:00,0
北京,15:38:30,广告-69,00:03:00,0
北京,15:46:30,广告-70,00:03:00,0
北京,15:54:30,广告-71,00:03:00,0
北京,16:05:00,广告-72,00:03:00,0
北京,16:13:00,广告-73,00:03:00,0
北京,16:21:00,广告-74,00:03:00,0
北京,16:29:00,广告-75,00:03:00,0
北京,16:38:30,广告-76,00:03:00,1
北京,16:46:30,广告-77,00:03:00,1
北京,16:54:00,广告-78,00:03:00,1
北京,17:05:00,广告-79,00:03:00,1
北京,17:13:00,广告-80,00:03:00,1
北京,17:21:00,广告-81,00:03:00,1
北京,17:30:00,广告-82,00:03:00,1
北京,17:38:00,广告-83,00:03:00,1
北京,17:46:00,广告-84,00:03:00,1
北京,17:54:00,广告-85,00:03:00,1
北京,18:05:00,广告-86,00:03:00,1
北京,18:13:00,广告-87,00:03:00,1
北京,18:21:00,广告-88,00:03:00,1
北京,18:55:25,广告-89,00:04:45,1
北京,19:30:40,广告-90,00:03:00,1
北京,19:38:40,广告-91,00:03:00,0
北京,19:46:40,广告-92,00:03:00,0
北京,19:54:40,广告-93,00:03:00,0
北京,20:05:00,广告-94,00:02:30,0
北京,20:12:30,广告-95,00:02:30,0
北京,20:20:00,广告-96,00:02:30,0
北京,20:27:30,广告-97,00:03:00,0
北京,20:37:00,广告-98,00:03:00,0
北京,20:45:00,广告-99,00:03:00,0
北京,20:53:00,广告-100,00:03:00,0
北京,21:05:00,广告-101,00:02:30,0
北京,21:12:30,广告-102,00:02:30,0
北京,21:20:00,广告-103,00:02:30,0
北京,21:27:30,广告-104,00:03:00,0
北京,21:37:00,广告-105,00:03:00,0
北京,21:45:00,广告-106,00:03:00,0
北京,21:53:00,广告-107,00:03:00,0
大连,06:03:30,广告-1,00:02:30,0
大连,06:11:00,广告-2,00:02:30,0
大连,06:18:30,广告-3,00:02:30,0
大连,06:26:00,广告-4,00:02:30,0
大连,06:34:30,广告-5,00:02:30,0
大连,06:42:00,广告-6,00:02:30,0
大连,06:49:30,广告-7,00:02:30,0
大连,06:57:00,广告-8,00:02:30,0
大连,07:05:00,广告-9,00:03:00,0
大连,07:13:00,广告-10,00:03:00,0
大连,07:21:00,广告-11,00:03:00,0
大连,07:30:00,广告-12,00:03:00,0
大连,07:38:00,广告-13,00:03:00,0
大连,07:46:00,广告-14,00:03:00,0
大连,07:54:00,广告-15,00:03:00,0
大连,08:05:00,广告-16,00:03:00,0
大连,08:13:00,广告-17,00:03:00,0
大连,08:21:00,广告-18,00:03:00,0
大连,08:30:00,广告-19,00:03:00,1
大连,08:38:00,广告-20,00:03:00,1
大连,08:46:00,广告-21,00:03:00,1
大连,08:54:00,广告-22,00:03:00,1
大连,09:05:00,广告-23,00:03:00,1
大连,09:13:00,广告-24,00:03:00,1
大连,09:21:00,广告-25,00:03:00,1
大连,09:29:00,广告-26,00:03:00,1
大连,09:38:30,广告-27,00:03:00,1
大连,09:46:30,广告-28,00:03:00,1
大连,09:54:30,广告-29,00:03:00,1
大连,10:05:00,广告-30,00:03:00,1
大连,10:13:00,广告-31,00:03:00,1
大连,10:21:00,广告-32,00:03:00,1
大连,10:29:00,广告-33,00:03:00,1
大连,10:38:30,广告-34,00:03:00,0
大连,10:46:30,广告-35,00:03:00,0
大连,10:54:30,广告-36,00:03:00,0
大连,11:05:00,广告-37,00:03:00,0
大连,11:13:00,广告-38,00:03:00,0
大连,11:21:00,广告-39,00:03:00,0
大连,11:29:00,广告-40,00:03:00,0
大连,11:38:30,广告-41,00:03:00,0
大连,11:46:30,广告-42,00:03:00,0
大连,11:54:30,广告-43,00:03:00,0
大连,12:05:00,广告-44,00:03:00,0
大连,12:13:00,广告-45,00:03:00,0
大连,12:21:00,广告-46,00:03:00,0
大连,12:29:00,广告-47,00:03:00,0
大连,12:38:30,广告-48,00:03:00,0
大连,12:46:30,广告-49,00:03:00,0
大连,12:54:30,广告-50,00:03:00,0
大连,13:05:00,广告-51,00:03:00,0
大连,13:13:00,广告-52,00:03:00,0
大连,13:21:00,广告-53,00:03:00,0
大连,13:29:00,广告-54,00:03:00,0
大连,13:38:30,广告-55,00:03:00,0
大连,13:46:30,广告-56,00:03:00,0
大连,13:54:30,广告-57,00:03:00,0
大连,14:05:00,广告-58,00:03:00,0
大连,14:13:00,广告-59,00:03:00,0
大连,14:21:00,广告-60,00:03:00,0
大连,14:29:00,广告-61,00:03:00,0
大连,14:38:30,广告-62,00:03:00,0
大连,14:46:30,广告-63,00:03:00,0
大连,14:54:30,广告-64,00:03:00,0
大连,15:05:00,广告-65,00:03:00,0
大连,15:13:00,广告-66,00:03:00,0
大连,15:21:00,广告-67,00:03:00,0
大连,15:29:00,广告-68,00:03:00,0
大连,15:38:30,广告-69,00:03:00,0
大连,15:46:30,广告-70,00:03:00,0
大连,15:54:30,广告-71,00:03:00,0
大连,16:05:00,广告-72,00:03:00,0
大连,16:13:00,广告-73,00:03:00,0
大连,16:21:00,广告-74,00:03:00,0
大连,16:29:00,广告-75,00:03:00,0
大连,16:38:30,广告-76,00:03:00,1
大连,16:46:30,广告-77,00:03:00,1
大连,16:54:00,广告-78,00:03:00,1
大连,17:05:00,广告-79,00:03:00,1
大连,17:13:00,广告-80,00:03:00,1
大连,17:21:00,广告-81,00:03:00,1
大连,17:30:00,广告-82,00:03:00,1
大连,17:38:00,广告-83,00:03:00,1
大连,17:46:00,广告-84,00:03:00,1
大连,17:54:00,广告-85,00:03:00,1
大连,18:05:00,广告-86,00:03:00,1
大连,18:13:00,广告-87,00:03:00,1
大连,18:21:00,广告-88,00:03:00,1
大连,18:55:25,广告-89,00:04:45,1
大连,19:30:40,广告-90,00:03:00,1
大连,19:38:40,广告-91,00:03:00,0
大连,19:46:40,广告-92,00:03:00,0
大连,19:54:40,广告-93,00:03:00,0
大连,20:05:00,广告-94,00:02:30,0
大连,20:12:30,广告-95,00:02:30,0
大连,20:20:00,广告-96,00:02:30,0
大连,20:27:30,广告-97,00:03:00,0
大连,20:37:00,广告-98,00:03:00,0
大连,20:45:00,广告-99,00:03:00,0
大连,20:53:00,广告-100,00:03:00,0
大连,21:05:00,广告-101,00:02:30,0
大连,21:12:30,广告-102,00:02:30,0
大连,21:20:00,广告-103,00:02:30,0
大连,21:27:30,广告-104,00:03:00,0
大连,21:37:00,广告-105,00:03:00,0
大连,21:45:00,广告-106,00:03:00,0
郑州,06:03:30,广告-1,00:02:30,0
郑州,06:11:00,广告-2,00:02:30,0
郑州,06:18:30,广告-3,00:02:30,0
郑州,06:26:00,广告-4,00:02:30,0
郑州,06:34:30,广告-5,00:02:30,0
郑州,06:42:00,广告-6,00:02:30,0
郑州,06:49:30,广告-7,00:02:30,0
郑州,06:57:00,广告-8,00:02:30,0
郑州,07:05:00,广告-9,00:03:00,0
郑州,07:13:00,广告-10,00:03:00,0
郑州,07:21:00,广告-11,00:03:00,0
郑州,07:30:00,广告-12,00:03:00,0
郑州,07:38:00,广告-13,00:03:00,0
郑州,07:46:00,广告-14,00:03:00,0
郑州,07:54:00,广告-15,00:03:00,0
郑州,08:05:00,广告-16,00:03:00,0
郑州,08:13:00,广告-17,00:03:00,0
郑州,08:21:00,广告-18,00:03:00,0
郑州,08:30:00,广告-19,00:03:00,1
郑州,08:38:00,广告-20,00:03:00,1
郑州,08:46:00,广告-21,00:03:00,1
郑州,08:54:00,广告-22,00:03:00,1
郑州,09:05:00,广告-23,00:03:00,1
郑州,09:13:00,广告-24,00:03:00,1
郑州,09:21:00,广告-25,00:03:00,1
郑州,09:29:00,广告-26,00:03:00,1
郑州,09:38:30,广告-27,00:03:00,1
郑州,09:46:30,广告-28,00:03:00,1
郑州,09:54:30,广告-29,00:03:00,1
郑州,10:05:00,广告-30,00:03:00,1
郑州,10:13:00,广告-31,00:03:00,1
郑州,10:21:00,广告-32,00:03:00,1
郑州,10:29:00,广告-33,00:03:00,1
郑州,10:38:30,广告-34,00:03:00,0
郑州,10:46:30,广告-35,00:03:00,0
郑州,10:54:30,广告-36,00:03:00,0
郑州,11:05:00,广告-37,00:03:00,0
郑州,11:13:00,广告-38,00:03:00,0
郑州,11:21:00,广告-39,00:03:00,0
郑州,11:29:00,广告-40,00:03:00,0
郑州,11:38:30,广告-41,00:03:00,0
郑州,11:46:30,广告-42,00:03:00,0
郑州,11:54:30,广告-43,00:03:00,0
郑州,12:05:00,广告-44,00:03:00,0
郑州,12:13:00,广告-45,00:03:00,0
郑州,12:21:00,广告-46,00:03:00,0
郑州,12:29:00,广告-47,00:03:00,0
郑州,12:38:30,广告-48,00:03:00,0
郑州,12:46:30,广告-49,00:03:00,0
郑州,12:54:30,广告-50,00:03:00,0
郑州,13:05:00,广告-51,00:03:00,0
郑州,13:13:00,广告-52,00:03:00,0
郑州,13:21:00,广告-53,00:03:00,0
郑州,13:29:00,广告-54,00:03:00,0
郑州,13:38:30,广告-55,00:03:00,0
郑州,13:46:30,广告-56,00:03:00,0
郑州,13:54:30,广告-57,00:03:00,0
郑州,14:05:00,广告-58,00:03:00,0
郑州,14:13:00,广告-59,00:03:00,0
郑州,14:21:00,广告-60,00:03:00,0
郑州,14:29:00,广告-61,00:03:00,0
郑州,14:38:30,广告-62,00:03:00,0
郑州,14:46:30,广告-63,00:03:00,0
郑州,14:54:30,广告-64,00:03:00,0
郑州,15:05:00,广告-65,00:03:00,0
郑州,15:13:00,广告-66,00:03:00,0
郑州,15:21:00,广告-67,00:03:00,0
郑州,15:29:00,广告-68,00:03:00,0
郑州,15:38:30,广告-69,00:03:00,0
郑州,15:46:30,广告-70,00:03:00,0
郑州,15:54:30,广告-71,00:03:00,0
郑州,16:05:00,广告-72,00:03:00,0
郑州,16:13:00,广告-73,00:03:00,0
郑州,16:21:00,广告-74,00:03:00,0
郑州,16:29:00,广告-75,00:03:00,0
郑州,16:38:30,广告-76,00:03:00,1
郑州,16:46:30,广告-77,00:03:00,1
郑州,16:54:00,广告-78,00:03:00,1
郑州,17:05:00,广告-79,00:03:00,1
郑州,17:13:00,广告-80,00:03:00,1
郑州,17:21:00,广告-81,00:03:00,1
郑州,17:30:00,广告-82,00:03:00,1
郑州,17:38:00,广告-83,00:03:00,1
郑州,17:46:00,广告-84,00:03:00,1
郑州,17:54:00,广告-85,00:03:00,1
郑州,18:05:00,广告-86,00:03:00,1
郑州,18:13:00,广告-87,00:03:00,1
郑州,18:21:00,广告-88,00:03:00,1
郑州,18:55:25,广告-89,00:04:45,1
郑州,19:30:40,广告-90,00:03:00,1
郑州,19:38:40,广告-91,00:03:00,0
郑州,19:46:40,广告-92,00:03:00,0
郑州,19:54:40,广告-93,00:03:00,0
郑州,20:05:00,广告-94,00:02:30,0
郑州,20:12:30,广告-95,00:02:30,0
郑州,20:20:00,广告-96,00:02:30,0
郑州,20:27:30,广告-97,00:03:00,0
郑州,20:37:00,广告-98,00:03:00,0
郑州,20:45:00,广告-99,00:03:00,0
郑州,20:53:00,广告-100,00:03:00,0
郑州,21:05:00,广告-101,00:02:30,0
郑州,21:12:30,广告-102,00:02:30,0
郑州,21:20:00,广告-103,00:02:30,0
郑州,21:27:30,广告-104,00:03:00,0
郑州,21:37:00,广告-105,00:03:00,0